"POSITION HOLDER
DETENTEUR DE LA POSITION","NOM DE LՃMETTEUR
NAME OF THE ISSUER",ISIN,"POSITION COURTE NETTE DETENUE EN %
NET SHORT POSITION SIZE IN PERCENTAGE","DATE DE POSITION (AAAA-MM-JJ)
POSITION DATE (YYYY-MM-DD)"
"ADAGE CAPITAL MANAGEMENT, L.P.",CELLECTIS,FR0010425595,0.69,2023-11-14
WHITEBOX ADVISORS LLC,TECHNICOLOR,FR0013505062,0.14,2020-09-22
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.02,2022-11-21
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.74,2023-05-30
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.81,2022-07-08
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.64,2023-11-02
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,4.34,2023-11-08
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.50,2017-10-02
MARSHALL WACE LLP,ERAMET,FR0000131757,0.69,2020-06-29
HIGHBRIDGE CAPITAL MANAGEMENT LLC,NACON,FR0013482791,1.33,2021-10-05
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.25,2022-08-22
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.31,2022-10-26
MARSHALL WACE LLP,ERAMET,FR0000131757,1.09,2020-05-20
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.82,2023-11-03
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON CORPORATION,FR0004548873,1.58,2019-08-12
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.22,2023-10-11
"EVERPOINT ASSET MANAGEMENT, LLC",VALLOUREC,FR0000120354,0.50,2015-06-17
"WORLDQUANT, LLC",EUROAPI,FR0014008VX5,1.06,2023-10-31
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",VALEO,FR0013176526,0.42,2020-06-16
CITADEL SECURITIES GP LLC,GENFIT,FR0004163111,0.43,2020-06-10
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.57,2023-09-28
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.88,2022-11-16
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.65,2020-03-06
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.55,2023-11-14
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CARREFOUR,FR0000120172,0.70,2023-09-06
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.76,2023-09-28
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.73,2021-02-22
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.28,2023-11-29
"BLACKROCK INSTITUTIONAL TRUST
COMPANY NATIONAL ASSOCIATION",EUROPCAR MOBILITY GROUP,FR0012789949,0.11,2020-04-01
MARSHALL WACE LLP,TELEPERFORMANCE,FR0000051807,1.00,2023-11-14
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.47,2023-04-13
MARSHALL WACE LLP,RENAULT,FR0000131906,1.33,2022-05-06
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.83,2023-10-02
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.75,2023-03-15
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.73,2019-01-18
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",ELIOR GROUP,FR0011950732,0.71,2023-09-04
MAGNOLIA ROAD CAPITAL PARTNERS LP,CGG,FR0013181864,0.33,2018-02-15
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,1.62,2023-04-18
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.77,2023-09-14
"COLTRANE MASTER FUND, L.P.",EUROFINS SCIENTIFIC SE,FR0000038259,0.47,2020-04-03
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.57,2023-10-20
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.06,2022-02-24
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.27,2019-09-10
"Public Equity Partners Management, L.P.",BOURBON,FR0004548873,0.60,2015-03-19
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.92,2022-11-08
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",VALLOUREC,FR0013506730,0.35,2021-02-08
GSA CAPITAL PARTNERS LLP,CELLECTIS,FR0010425595,0.60,2022-08-24
MILLENNIUM CAPITAL PARTNERS LLP,CLARIANE SE,FR0010386334,0.82,2023-11-24
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.67,2023-07-13
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.93,2023-01-02
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.70,2023-01-03
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.45,2019-08-22
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.90,2022-06-28
ELEVA CAPITAL SAS,SOLUTIONS 30 SE,FR0013379484,0.47,2021-01-25
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.09,2023-09-18
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.59,2023-02-23
MARSHALL WACE ASIA LIMITED,ELIS,FR0012435121,0.49,2020-09-11
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.81,2023-09-28
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.99,2019-12-06
SYQUANT CAPITAL,WORLDLINE,FR0011981968,0.00,2020-10-23
MARSHALL WACE LLP,RENAULT,FR0000131906,1.57,2022-07-14
"PDT PARTNERS, LLC",GENFIT,FR0004163111,0.48,2020-08-05
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,1.21,2023-07-05
CAPITAL FUND MANAGEMENT SA,CGG,FR0013181864,0.37,2020-11-24
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,2.82,2022-12-22
AKO CAPITAL LLP,EIFFAGE,FR0000130452,0.90,2023-09-29
OXFORD ASSET MANAGEMENT LLP,BOLLORE,FR0000039299,0.01,2014-12-03
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.06,2022-02-07
MACKAY SHIELDS LLC,SOLOCAL GROUP,FR0012938884,0.50,2018-05-02
"LEUCADIA INVESTMENT MANAGEMENT
LIMITED",SOLUTIONS 30 SE,FR0013379484,0.49,2021-01-12
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.70,2023-06-02
"WORLDQUANT, LLC",EUROAPI,FR0014008VX5,1.08,2023-11-09
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,1.02,2022-11-25
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.80,2023-01-24
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",TELEVISION FRANCAISE 1,FR0000054900,2.22,2023-04-05
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.47,2023-06-12
VOLEON CAPITAL MANAGEMENT LP,ERAMET,FR0000131757,0.49,2020-07-23
MARSHALL WACE LLP,RENAULT,FR0000131906,1.39,2023-04-14
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,2.08,2023-08-01
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,1.52,2023-07-05
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.49,2022-11-08
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.83,2021-02-18
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.87,2023-03-07
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,1.41,2023-10-27
"BALYASNY ASSET MANAGEMENT, L.P.",L'OREAL,FR0000120321,0.50,2013-01-29
MARSHALL WACE LLP,RENAULT,FR0000131906,1.60,2022-05-20
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.85,2021-05-07
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,1.03,2023-02-02
CITADEL ADVISORS LLC,CASINO GUICHARD-PERRACHON,FR0000125585,0.59,2023-04-27
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.67,2021-06-17
"WORLDQUANT, LLC",EUROAPI,FR0014008VX5,1.13,2023-11-01
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.84,2022-09-29
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.13,2022-05-05
MARSHALL WACE LLP,ERAMET,FR0000131757,1.38,2020-01-17
WHITEBOX ADVISORS LLC,CLARIANE SE,FR0010386334,0.62,2023-10-26
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.80,2023-01-26
MARSHALL WACE LLP,RENAULT,FR0000131906,1.12,2022-04-13
POINT72 ASSET MANAGEMENT L.P.,KLEPIERRE,FR0000121964,0.32,2020-11-09
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.20,2019-12-10
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.97,2022-01-27
GUEVOURA FUND LIMITED,VALLOUREC,FR0013506730,0.87,2021-06-28
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.56,2022-09-15
MILLENNIUM CAPITAL PARTNERS LLP,SUEZ,FR0010613471,0.49,2020-07-30
"OCEANWOOD CAPITAL MANAGEMENT
LIMITED",RENAULT,FR0000131906,0.56,2020-03-10
MARSHALL WACE LLP,RENAULT,FR0000131906,1.71,2022-09-23
VOLEON CAPITAL MANAGEMENT LP,NOVACYT,FR0010397232,0.20,2020-10-02
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.68,2023-02-10
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.23,2022-12-15
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.08,2023-06-02
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.11,2015-06-10
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.15,2023-06-01
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,1.13,2019-04-16
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",LAGARDERE SCA,FR0000130213,0.06,2020-03-18
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",TELEVISION FRANCAISE 1,FR0000054900,0.82,2022-05-12
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.04,2022-02-28
SANDBAR ASSET MANAGEMENT LLP,REXEL,FR0010451203,0.49,2020-04-14
"ANCHOR BOLT CAPITAL, LP",FAURECIA,FR0000121147,0.61,2019-01-09
"LUMINUS MANAGEMENT, LLC",TECHNIPFMC PLC,GB00BDSFG982,0.40,2021-02-01
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,3.68,2023-10-30
HIGHBRIDGE CAPITAL MANAGEMENT LLC,NACON,FR0013482791,1.54,2021-04-06
GUEVOURA FUND LIMITED,EUROPCAR MOBILITY GROUP,FR0012789949,0.00,2021-02-26
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.93,2023-07-26
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.15,2019-08-15
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.60,2023-06-22
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.90,2018-08-16
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON CORPORATION,FR0004548873,1.35,2019-09-19
MARSHALL WACE LLP,RENAULT,FR0000131906,1.52,2022-08-22
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,1.00,2022-11-15
POINT72 EUROPE (LONDON) LLP,KLEPIERRE,FR0000121964,0.46,2022-03-07
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.09,2022-12-22
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.78,2019-08-01
MARSHALL WACE LLP,SPIE SA,FR0012757854,0.46,2020-06-03
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.67,2023-11-17
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.79,2023-02-08
"D. E. SHAW & CO. (LONDON), LLP",AIR FRANCE-KLM,FR001400J770,0.60,2023-10-11
WORLDQUANT LLC,REMY COINTREAU,FR0000130395,0.46,2020-03-18
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,1.34,2023-01-26
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,0.62,2023-01-06
MARSHALL WACE LLP,ERAMET,FR0000131757,1.41,2020-01-02
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CARREFOUR,FR0000120172,0.50,2023-05-30
MARSHALL WACE LLP,AIR FRANCE-KLM,FR001400J770,0.66,2023-10-20
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.66,2022-07-12
MARSHALL WACE LLP,RENAULT,FR0000131906,1.71,2022-10-10
MILLENNIUM CAPITAL PARTNERS LLP,NEXANS,FR0000044448,0.43,2020-08-13
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",MERCIALYS,FR0010241638,0.50,2020-11-10
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.15,2019-11-13
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.48,2022-12-13
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.01,2022-01-25
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.49,2023-07-04
"BLUECREST CAPITAL MANAGEMENT
LIMITED",GENFIT,FR0004163111,0.00,2021-02-05
CITADEL ADVISORS LLC,TECHNICOLOR,FR0010918292,0.79,2020-02-18
CITADEL ADVISORS LLC,SOLOCAL GROUP,FR0012938884,0.42,2020-03-25
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",DBV TECHNOLOGIES,FR0010417345,0.00,2020-11-30
"D. E. SHAW & CO. (LONDON), LLP",UBISOFT ENTERTAINMENT,FR0000054470,1.00,2023-08-21
KRYGER CAPITAL LIMITED,AIR FRANCE-KLM,FR0000031122,0.00,2022-06-16
MARSHALL WACE LLP,CGG,FR0013181864,0.66,2023-09-06
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.34,2023-03-08
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.83,2022-07-14
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.56,2023-06-21
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.80,2023-03-28
MARSHALL WACE LLP,RENAULT,FR0000131906,1.48,2023-01-25
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.91,2020-03-17
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.49,2023-11-07
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,4.01,2023-11-02
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,4.05,2023-07-07
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.00,2018-09-10
CITADEL ADVISORS LLC,TECHNICOLOR,FR0010918292,0.77,2020-02-24
MELQART ASSET MANAGEMENT (UK) LTD,ATOS SE,FR0000051732,0.86,2023-10-16
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,2.30,2023-07-19
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.57,2022-03-04
D1 CAPITAL PARTNERS LP,KLEPIERRE,FR0000121964,0.80,2020-11-05
CITADEL EUROPE LLP,AKKA TECHNOLOGIES,FR0004180537,0.33,2020-11-30
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.99,2022-08-04
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.12,2023-06-05
"HIGHBRIDGE CAPITAL MANAGEMENT,
LLC",NACON,FR0013482791,1.18,2022-10-07
GLADSTONE CAPITAL MANAGEMENT LLP,ALSTOM,FR0010220475,0.48,2020-11-13
MARSHALL WACE LLP,EUTELSAT COMMUNICATIONS,FR0010221234,0.59,2023-01-03
"HIGHBRIDGE CAPITAL MANAGEMENT,
LLC",NACON,FR0013482791,1.20,2022-09-16
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.14,2022-02-28
"WORLDQUANT, LLC",EUROAPI,FR0014008VX5,0.98,2023-11-15
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.48,2023-04-19
HIGHBRIDGE CAPITAL MANAGEMENT LLC,NACON,FR0013482791,1.50,2021-03-17
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.93,2023-02-27
PORTSEA ASSET MANAGEMENT LLP,SOLUTIONS 30 SE,FR0013379484,0.14,2020-03-16
MARSHALL WACE LLP,RENAULT,FR0000131906,1.21,2023-05-31
ARROWSTREET CAPITAL,MC PHY ENERGY,FR0011742329,0.90,2021-04-13
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,0.50,2019-01-25
MARSHALL WACE LLP,EUROAPI,FR0014008VX5,0.63,2023-10-30
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.70,2023-01-24
KINTBURY CAPITAL LLP,VALEO,FR0013176526,0.90,2023-10-13
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.10,2023-01-05
MARSHALL WACE LLP,ERAMET,FR0000131757,0.61,2020-08-03
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.77,2023-10-20
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.13,2019-12-12
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.68,2023-01-18
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,1.80,2023-11-16
MARSHALL WACE LLP,RENAULT,FR0000131906,1.80,2022-10-06
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.98,2019-10-01
AKO CAPITAL LLP,PUBLICIS GROUPE SA,FR0000130577,0.48,2020-12-11
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.73,2023-01-11
MARSHALL WACE LLP,ERAMET,FR0000131757,1.17,2020-03-17
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.97,2022-11-01
"AQR CAPITAL MANAGEMENT, LLC",EDENRED,FR0010908533,0.49,2020-08-31
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.49,2023-05-04
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.49,2022-12-01
"ANCHOR BOLT CAPITAL, LP",FAURECIA,FR0000121147,0.73,2019-01-04
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.11,2019-09-20
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.72,2023-05-22
VOLEON CAPITAL MANAGEMENT LP,SMCP,FR0013214145,0.49,2020-10-02
LONE PINE CAPITAL LLC,KLEPIERRE,FR0000121964,0.34,2021-01-28
AKO CAPITAL LLP,SOLUTIONS 30 SE,FR0013379484,0.00,2020-07-29
MIRABELLA FINANCIAL SERVICES LLP,ALSTOM,FR0010220475,0.57,2022-11-09
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.06,2022-01-13
MIRABELLA FINANCIAL SERVICES LLP,ALSTOM,FR0010220475,0.78,2022-10-20
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.89,2022-10-04
MIRABELLA FINANCIAL SERVICES LLP,ALSTOM,FR0010220475,0.80,2022-10-04
KINTBURY CAPITAL LLP,VALEO,FR0013176526,0.73,2023-11-03
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.91,2023-03-13
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.76,2023-06-07
ARROWSTREET CAPITAL,MC PHY ENERGY,FR0011742329,0.82,2021-04-08
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.84,2022-09-20
MARSHALL WACE LLP,LAGARDERE SCA,FR0000130213,0.49,2020-12-28
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.23,2021-03-18
MARSHALL WACE LLP,CGG,FR0013181864,0.82,2023-09-18
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.61,2023-05-25
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.70,2023-09-19
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.99,2023-05-26
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.80,2019-07-05
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,3.03,2023-01-09
"PDT PARTNERS, LLC",DBV TECHNOLOGIES,FR0010417345,0.49,2021-03-22
MARSHALL WACE LLP,RENAULT,FR0000131906,0.80,2023-09-07
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",SODEXO,FR0000121220,0.39,2020-08-21
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,1.88,2023-11-29
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,0.66,2019-08-19
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,1.41,2023-01-27
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.19,2019-09-13
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.09,2023-06-22
MELQART ASSET MANAGEMENT (UK) LTD,SOLUTIONS 30 SE,FR0013379484,0.37,2021-04-01
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.01,2023-06-26
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.56,2019-02-28
"ADAGE CAPITAL MANAGEMENT, L.P.",CELLECTIS,FR0010425595,0.80,2023-11-16
VOLEON CAPITAL MANAGEMENT LP,CHARGEURS,FR0000130692,0.36,2020-09-14
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.82,2023-09-22
"BRIDGEWATER ASSOCIATES, LP",ENGIE,FR0010208488,0.49,2020-03-20
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,3.41,2023-01-30
MARSHALL WACE LLP,RENAULT,FR0000131906,0.94,2022-04-06
"WORLDQUANT, LLC",EUROAPI,FR0014008VX5,0.82,2023-10-25
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,0.58,2019-12-23
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",SES,LU0088087324,0.70,2023-07-06
"AQR CAPITAL MANAGEMENT, LLC",GETLINK SE,FR0010533075,0.49,2022-05-25
CARLSON CAPITAL UK LLP,PEUGEOT S.A.,FR0000121501,0.51,2020-09-16
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.60,2023-07-24
MARSHALL WACE LLP,RENAULT,FR0000131906,1.00,2023-11-20
"WORLDQUANT, LLC",EUROAPI,FR0014008VX5,1.22,2023-11-03
CITADEL ADVISORS LLC,DBV TECHNOLOGIES,FR0010417345,0.48,2021-03-19
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.27,2023-10-11
MARSHALL WACE LLP,CGG,FR0013181864,2.12,2023-11-06
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.71,2022-12-16
"SCULPTOR CAPITAL MANAGEMENT
EUROPE LIMITED",KORIAN,FR0010386334,0.48,2020-09-21
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.27,2022-09-08
MARSHALL WACE LLP,AIR FRANCE-KLM,FR001400J770,0.71,2023-10-25
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.97,2023-10-05
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,4.43,2023-11-09
"AQR CAPITAL MANAGEMENT, LLC",UBISOFT ENTERTAINMENT,FR0000054470,0.48,2020-05-26
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.49,2019-08-30
CREDIT INDUSTRIEL ET COMMERCIAL,VALLOUREC,FR0013506730,0.60,2023-09-27
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.48,2022-10-25
MARSHALL WACE LLP,ALSTOM,FR0010220475,1.06,2023-11-06
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.73,2022-07-13
LMR PARTENRS LLP,PEUGEOT S.A.,FR0000121501,0.36,2020-07-22
GREENVALE CAPITAL LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.44,2020-10-19
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.56,2021-01-29
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.66,2021-01-27
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.21,2022-02-17
MARSHALL WACE LLP,RENAULT,FR0000131906,1.48,2022-05-31
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.11,2023-01-03
MIRABELLA FINANCIAL SERVICES LLP,ALSTOM,FR0010220475,0.70,2022-09-21
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.59,2023-07-13
NATIXIS SA,NEXANS,FR0000044448,0.58,2022-07-26
CITADEL ADVISORS LLC,TECHNICOLOR,FR0010918292,0.82,2020-02-17
WHITEBOX ADVISORS LLC,CLARIANE SE,FR0010386334,0.70,2023-11-15
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.57,2023-06-23
AKO CAPITAL LLP,SPIE SA,FR0012757854,1.31,2023-11-17
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.60,2023-09-26
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.68,2023-04-14
